,itemid,shopid,name,brand,subcatid,cb_option,cmt_count,rating,ctime,flag,historical_sold,is_adult,is_official_shop,liked_count,price,discount,stock,show_free_shipping,shop_location,shopee_verified,can_use_bundle_deal,can_use_cod,catid
0,20458317142,268182642,Chuột máy tính gaming có dây SIDOTECH S800 đèn led RGB 6 nút bấm 3200 DPI cho game thủ làm việc văn phòng - Chính hãng,,100644,0,418,4.940191387559809,1666927391,196608,1161,False,True,433,6700000000,3%,1,False,Hà Nội,False,False,True,110360
1,14804160470,370296294,"Chuột chơi game, chuột máy tính có dây LOGITECH G102 RBG Độ Chính Xác Cao 8000DPI [ Bảo Hành 12 Tháng 1 Đổi 1] Hàng OEM",,100644,0,5049,4.754802931273519,1637585133,65536,20104,False,False,1386,9400000000,53%,569,False,Hà Nội,True,False,True,110360
2,2918790481,268182642,Chuột gaming máy tính có dây game thủ SIDOTECH YINDIAO G5 3200DPI / Chế độ LED 7 màu / 6 nút bấm - Hàng Chính Hãng,Sido Tech,100644,0,4394,4.90685493053974,1613642434,65538,11297,False,True,1681,7500000000,46%,25,True,Hà Nội,False,False,True,110360
3,7592374525,412188131,Chuột Máy Tính Gaming Led Rgb LOGITECH G402 Chuột Vi Tính Laptop Chơi Game Cực Nhạy Giá Rẻ,,100644,0,767,4.740208877284595,1624201352,65536,2632,False,False,753,29900000000,25%,10,False,TP. Hồ Chí Minh,True,False,True,110360
4,4289484914,268182642,Chuột máy tính gaming chơi game SIDOTECH Inphic P1W bản có dây và không dây tắt âm silent 7200 DPI Led RGB - Chính hãng,,100644,0,1999,4.911455727863932,1621587655,65536,5086,False,True,980,8600000000,55%,200,False,Hà Nội,False,False,True,110360
5,21681960312,1034064566,Chuột fuhlen L102 có dây hàng Bảo hành 12 tháng,,100644,0,6,5.0,1689656380,196608,23,False,False,0,3300000000,,610,False,Hà Nội,False,False,True,110360
6,5116658465,52679373,"Chuột không dây Logitech Pebble M350 - Bluetooth/ USB, nhỏ gọn, giảm ồn, MacOS / PC",logitech,100644,0,5007,4.947421031587365,1581131301,65538,14341,False,True,10352,45900000000,34%,29,True,TP. Hồ Chí Minh,False,False,True,110360
7,13173457196,462863755,Chuột Gaming White Siêu Bền-Chuột Chơi Game Có Dây 1200 Dpi Kèm Đèn Led Nền,,100644,0,2709,4.8180140273163525,1642845692,65536,9508,False,False,704,2610000000,18%,458,False,TP. Hồ Chí Minh,True,True,True,110360
8,17262109674,369729853,Chuột không dây (wireless mouse) DAREU LM115G Multi-Color hình con thú cute Dragon | Panda | Lion | Sheep,,100644,0,136,4.955882352941177,1651579866,196608,549,False,True,25,19800000000,34%,3371,False,Hà Nội,False,False,True,110360
9,23948592011,1034104515,Chuột Fuhlen gaming L102 Có Dây Hàng Mới dành cho công sở Chuột giá cả tương đối mềm Bảo hành 12 Tháng,,100644,0,12,5.0,1689672318,196608,36,False,False,1,4800000000,,9526,False,Hà Nội,False,False,True,110360
10,23848543169,1033617295,[freeship] Chuột Không Dây giá cả tương đối rẻ Forter V181 xịn bh 12 Tháng,,100644,0,0,0.0,1689653490,196608,0,False,False,1,1000000000,,14357,False,Hà Nội,False,False,True,110360
11,23870148443,1012253720,CHUYI Chuột Quang Máy  Tính Dây USB 3 Nút 1600DPI Thiết Kế Hình Chú Ếch Hồng Dễ Thương,,100644,1,0,0.0,1686047385,196608,0,False,True,1,5500000000,40%,999,False,Nước ngoài,False,False,True,110360
12,21881841414,1033617295,Chuột Logitech G102 mới 100%,,100644,0,9,5.0,1689406761,196608,39,False,False,2671,5500000000,,17,False,Hà Nội,False,False,True,110360
13,1592328943,52679373,"Chuột không dây Logitech M220 Silent - giảm ồn, USB, pin 1.5 năm, phù hợp PC/Laptop",logitech,100644,0,8521,4.944483568075118,1539962363,65538,26341,False,True,4627,25900000000,26%,316,True,TP. Hồ Chí Minh,False,False,True,110360
14,13375581982,52679373,"Chuột không dây bluetooth Logitech Signature M650- SmartWheel, giảm ồn, tùy chỉnh các nút",,100644,0,1962,4.908766564729867,1644208265,65536,6954,False,True,1677,59900000000,40%,1453,False,TP. Hồ Chí Minh,False,False,True,110360
15,22369788114,52679373,Logitech M240 Silent Bluetooth Mouse with Comfortable Shape,,100644,0,80,4.9625,1685692533,196608,372,False,True,95,33300000000,26%,269,False,TP. Hồ Chí Minh,False,False,True,110360
16,22274065503,1034064566,Chuột game Play Chuột máy tính cá nhân Có Dây G502 LED RGB 7200DPI cấu hình thiết lập bh 12 Tháng,,100644,0,6,5.0,1689668998,196608,22,False,False,0,20200000000,,7,False,Hà Nội,False,False,True,110360
17,22349939761,420201632,"Chuột Không Dây Rapoo Đen
",,100644,0,0,0.0,1690796063,196608,0,False,False,0,3000000000,,4,False,Đồng Nai,False,False,True,110360
18,4412815704,52679373,"Chuột không dây Logitech M330 Silent Plus - Giảm ồn, USB, thuận tay phải, PC/ Laptop",logitech,100644,0,4958,4.917844166330238,1577265332,65538,14393,False,True,2343,33900000000,6%,530,True,TP. Hồ Chí Minh,False,False,True,110360
19,4501796479,52679373,"Chuột game không dây Logitech G304 - nhẹ, 6 nút lập trình, onboard memory, pin 250h",logitech,100644,0,2685,4.93248787765759,1571211001,65538,7366,False,True,2574,79900000000,38%,475,True,TP. Hồ Chí Minh,False,False,True,110360
20,19132019796,242564675,Chuột Máy Tính Có Dây Game Thủ Led 7 Màu G21 Cổng Usb,,100644,0,53,4.830188679245283,1659861038,196608,291,False,False,9,1900000000,41%,951,False,Hà Nội,False,False,True,110360
21,18690928022,1034104515,Chuột Gaming Chuột game Play Logitech G102 Led RGB 8000DPI (Bảo Hành 12 Tháng) - Hàng nhập vào Loại 1,,100644,0,12,5.0,1689672002,196608,37,False,False,0,3500000000,,38655,False,Hà Nội,False,False,True,110360
