,itemid,shopid,name,brand,subcatid,cb_option,cmt_count,rating,ctime,flag,historical_sold,is_adult,is_official_shop,liked_count,price,discount,stock,show_free_shipping,shop_location,shopee_verified,can_use_bundle_deal,can_use_cod,catid
0,17630322785,339663395,Micro để bàn MAONO AU-PM461TR RGB có đèn RGB,No Brand,100535,1,616,4.910714285714286,1648022529,268435456,1989,False,True,1287,69000000000,30%,7548,False,Nước ngoài,False,False,False,110360
1,5763564307,127225556,Micro không dây đa năng MAX 39 hát karaoke gia đình cực hay trang bị màn hình LCD hiển thị tần số,No Brand,100535,0,413,4.861985472154964,1605689370,65536,1128,False,False,320,22500000000,34%,22714,False,TP. Hồ Chí Minh,True,False,True,110360
2,19679386145,812169015,"Mic livestream có màng lọc âm, micro để bàn SF666 có đèn led, mic usb lọc tạp âm, lọc tiếng ồn sử dụng cho Laptop, PC",,100535,0,188,4.7243589743589745,1683018443,196608,526,False,False,145,19900000000,47%,19574,False,Hà Nội,True,False,True,110360
3,18479168685,339663395,Micro USB Chơi Game Màu Trắng RGB Maono DGM20 Có mic Loại Bỏ Tiếng Ồn Cho PC / Điện Thoại / Trực Tuyến / Podcast / Chat / Twitch / YouTube / PS5 / PS4,No Brand,100535,1,5,5.0,1682409584,196608,21,False,True,54,82200000000,18%,3790,False,Nước ngoài,False,False,True,110360
4,21876570501,339663395,Micro thu âm MAONO DGM20 RGB USB Condenser với độ điều chỉnh lớn/chức năng thiết lập phần mềm cho PC/chơi game/livestream,No Brand,100535,1,83,4.9397590361445785,1679308180,268632064,353,False,True,398,82200000000,18%,8459,False,Nước ngoài,False,False,True,110360
5,19782281717,284426433,"Micro karaoke bluetooth không dây cầm tay tiện dụng chất lương cao,loa hát kết nối các thiết bị bluetooth chuyên nghiệp",,100535,0,41,5.0,1690336712,196608,32007,False,False,17,9900000000,24%,34151,False,Hà Nội,True,False,True,110360
6,23339114838,375299038,Micro Thu Âm Không Dây Cài Áo Cho Điện Thoại Mic Thu âm Livestream Không Dây Mini Cho các dòng máy,,100535,0,38,5.0,1681548702,196608,253,False,False,31,25900000000,,17794,False,Hà Nội,True,False,True,110360
7,23915285107,647675162,"Micro Karaoke Bluetooth WS-900 Cao Cấp Nâng Giọng Hát Cực Hay, Mic Hát Karaoke Mini Không Dây Kèm Loa Bluetooth Tại Nhà",,100535,0,109,4.522935779816514,1672372988,196608,505,False,False,102,32500000000,50%,13494,False,Hà Nội,False,False,True,110360
8,23949468092,979317884,"Máy ghi âm, Bút ghi âm JXD P150 32/64GB, Ghi được tới 144 giờ, Âm thanh rõ, Lọc âm tốt, Viết được ,Bảo hành 24 THÁNG",,100535,0,4,5.0,1690346963,196608,30,False,False,1,129000000000,28%,624,False,Hà Nội,False,False,True,110360
9,21881667181,644496128,Mic Thu Âm Cho Điện Thoại Micro Thu Âm Không Dây Cài Áo Nhỏ Gọn Mic Livestream Cài Áo Giảm Tiếng Ồn,,100535,0,21,5.0,1689051037,196608,362,False,False,1,25900000000,50%,27338,False,Hà Nội,False,False,True,110360
10,18977536265,968593349,Micro karaoke bluetooth không dây đa năng Shuae K10 âm thanh chân thực KAW VIETNAM,,100535,0,20,5.0,1680258234,196608,43,False,True,7,93500000000,40%,890,False,TP. Hồ Chí Minh,False,False,True,110360
11,20652626964,68826733,"Micro karaoke bluetooth cầm tay không dây tiện dụng chất lương cao,loa hát kết nối các thiết bị bluetooth chuyên nghiệp",,100535,0,1624,4.41871921182266,1665116436,196608,17666,False,False,3528,9900000000,29%,27542,False,Hà Nội,True,False,True,110360
12,21791303297,979317884,"Máy ghi âm chuyên nghệp JXD P150 32/64GB, Cao cấp, Viết được ,Âm thanh tốt, Không rè, Ghi tới 144 giờ, Bảo hành 24 THÁNG",,100535,0,3,5.0,1690507938,196608,20,False,False,0,129000000000,36%,1301,False,Hà Nội,False,False,True,110360
13,23250055212,1023120559,Micro Không Dây Bluetooth Kết Nối Với Điện Thoại Thông Minh - Hát Karaoke Âm Thanh Chuẩn,,100535,0,0,0.0,1690899374,196608,0,False,False,0,100000000,,1345,False,TP. Hồ Chí Minh,False,False,True,110360
