,itemid,shopid,name,brand,subcatid,cb_option,cmt_count,rating,ctime,flag,historical_sold,is_adult,is_official_shop,liked_count,price,discount,stock,show_free_shipping,shop_location,shopee_verified,can_use_bundle_deal,can_use_cod,catid
0,15663926948,497200676,Máy tính bảng vẽ VEIKK VK430,No Brand,100644,1,595,4.915966386554622,1647516547,65536,1844,False,True,2314,45500000000,35%,2635,False,Nước ngoài,False,False,True,110360
1,20779788277,670140439,WACOM Bảng Vẽ Kỹ Thuật Số CTL671 672 472 PTH460 660 860,,100644,1,0,0.0,1684134075,196608,1,False,False,1,13194600000,30%,12654,False,Nước ngoài,False,False,True,110360
2,15179098533,72182469,Bảng Vẽ Điện Tử VINSA 1060 Plus Màn hình 10x6inch - Hàng chính hãng,,100644,0,94,4.9361702127659575,1650703928,196608,350,False,False,725,11000000000,21%,959,False,TP. Hồ Chí Minh,True,False,True,110360
3,2322623466,78740491,[Hàng chính hãng] Bảng vẽ điện tử Gaomon 1060Pro bản mới bảo hành 12 tháng,No Brand,100644,0,3596,4.863143254520167,1560755744,65538,11873,False,False,3567,63500000000,,846,True,Hà Nội,False,False,True,110360
4,10911259850,24174818,Bảng Vẽ Điện Tử Chuyên Dùng Thiết Kế Đồ Họa Wacom Ctl-472/K1F,,100644,0,2,5.0,1623596522,196610,9,False,False,25,139000000000,7%,122,True,Hà Nội,False,True,True,110360
5,22507601381,906824023,Bảng vẽ XPPen Deco Fun với bút 8192 mức độ áp lực hỗ trợ chơi game OSU & vẽ & dạy trực tuyến cho Android/ PC/ laptop,,100644,0,113,4.8584070796460175,1669371827,196608,388,False,True,389,39900000000,45%,319,False,TP. Hồ Chí Minh,False,False,True,110360
6,21647583492,800462276,Bảng Vẽ Điện Điện Tử 10moons T503 Hỗ Trợ Điện Thoại Android Và Máy Tính Bảng,No Brand,100644,1,196,4.831632653061225,1663652759,196608,492,False,False,598,46000000000,39%,274,False,Nước ngoài,False,False,True,110360
7,2479251815,43471671,Bảng vẽ điện tử Gaomon 1060 Pro,No Brand,100644,0,2594,4.924980665119876,1563511907,65538,8786,False,False,1955,63500000000,,689,True,Hà Nội,True,False,True,110360
8,5872004082,185917181,"Bảng vẽ Xiaomi LCD 13.5"" inch va 10"" inch - Mi LCD Writing Tablet 13.5"" and 10""",Xiaomi,100644,0,276,4.9601449275362315,1609225130,65538,898,False,False,126,22500000000,42%,36,True,TP. Hồ Chí Minh,True,False,True,110360
9,3901309287,299252,Bảng vẽ điện tử Xiaomi Mijia Bảng vẽ sáng tạo,Xiaomi,100644,0,654,4.849462365591398,1570864551,65538,2262,False,False,305,19500000000,14%,203,True,Hà Nội,True,False,True,110360
10,23768578239,83664282,Bảng vẽ tự xóa điện tử 3D bảng viết vẽ thông minh 12 inch màn hình LCD đơn sắc,,100644,0,83,4.795180722891566,1684760180,196608,396,False,False,6,1400000000,31%,8038,False,Hải Dương,True,True,True,110360
