,itemid,shopid,name,brand,subcatid,cb_option,cmt_count,rating,ctime,flag,historical_sold,is_adult,is_official_shop,liked_count,price,discount,stock,show_free_shipping,shop_location,shopee_verified,can_use_bundle_deal,can_use_cod,catid
0,12217662814,88201679,Apple iPad Gen 9th 10.2-inch Wi-Fi 64GB,None,100013,0,1436,4.923344947735192,1632744803,269025280,4468,False,True,6224,699000000000,42%,7,False,Bắc Ninh,False,False,True,110360
1,22472502665,1023885425,Máy tính bảng hp mới【12GB+512GB】11.2inch Galaxy P50Pro máy tính bảng học văn phòng giải trí giá rẻ tablet PC y,,100013,0,28,4.928571428571429,1688301493,196608,79,False,False,92,60000000000,,1180,False,TP. Hồ Chí Minh,False,False,True,110360
2,14533395677,65589552,Máy tính bảng Samsung Galaxy Tab A8 - Hàng Chính Hãng,,100013,0,42,5.0,1641548659,268500992,102,False,True,380,849000000000,,10,False,Bắc Ninh,False,False,True,110360
3,13330261994,25990212,"[6GB RAM] Máy tính bảng Lenovo Tab P11 2022 128GB, 4 Loa mạnh mẽ mới 100%.",,100013,0,443,4.923250564334086,1634453719,589824,990,False,False,1630,368000000000,5%,66,False,Hà Nội,True,False,True,110360
4,21590500137,1023890998,Máy tính bảng hp mới【12GB+512GB】11.2inch Galaxy P50Pro máy tính bảng học văn phòng giải trí giá rẻ tablet PC b,,100013,0,20,5.0,1688634464,196608,60,False,False,84,60000000000,,2514,False,TP. Hồ Chí Minh,False,False,True,110360
5,19491317560,700165071,[XẢ]Máy tính bảng HP mới【12GB+512GB】11.2inch Galaxy máy tính bảng học văn phòng giải trí giá rẻ tablet PC w,,100013,0,1,5.0,1690529566,196608,25,False,False,2,147290000000,45%,90,False,Hà Nội,False,False,True,110360
6,22149907210,652935965,Máy tính bảng Xiaomi Mi Pad 5 (6GB - 256GB) Công Ty mới fullbox nguyên seal,,100013,0,1,5.0,1690772569,196608,33,False,False,2,132100000,,2949,False,Hải Phòng,False,False,True,110360
7,15597887266,652935965,"Máy tính bảng OUKITEL RT1 pin khủng10.000MAH, Siêu bền - chống nước",,100013,0,1,5.0,1690771153,196608,38,False,False,0,322000000,,962,False,Hải Phòng,False,False,True,110360
8,22375394359,652935965,"Máy tính bảng OUKITEL RT2 ( 8Gb/128GB) chống va đập,chống nước, Pin 20000Mah",,100013,0,1,5.0,1690771533,196608,27,False,False,0,320000000,,972,False,Hải Phòng,False,False,True,110360
9,21191311046,648206248,[Tặng bao da] Máy tính bảng Galaxy Tab S6 Lite 2022 4G (4GB - 64GB) Công Ty nguyên Seal (SM - P619),,100013,0,1,5.0,1690530168,196608,26,False,False,1,124000000,,1903,False,Hải Phòng,False,False,True,110360
10,22275188468,648206248,Máy tính bảng Lenovo Yoga Tab 13 hàng new seal,,100013,0,1,5.0,1690513053,196608,26,False,False,6,341400000,,830,False,Hải Phòng,False,False,True,110360
11,20791311472,648206248,"[Tặng bao da] Máy tính bảng Galaxy Tab A7 Lite 4G 32GB (Công Ty) xem phim, học tập, lướt web",,100013,0,1,5.0,1690529045,196608,38,False,False,3,132000000,,1917,False,Hải Phòng,False,False,True,110360
12,20088291620,696917082,[SIÊU RẺ] Máy tính bảng Xiaomi Mi Pad 5 Pro - Bảo hành 12 tháng - Nguyên Seal,,100013,0,0,0.0,1682939184,196608,0,False,False,0,100000000,,1,False,Hà Nội,False,False,True,110360
13,21482466475,652668863,"Máy tính bảng Lenovo Yoga Tab 13 Wifi (8gb/256gb) – Micro-HDMI, 4 Loa JBL",,100013,0,0,0.0,1690875726,196608,0,False,False,0,132000000,,998,False,Hà Nội,False,False,True,110360
14,23075204470,648206248,"[Tặng bao da] Máy tính bảng Xiaomi Pad 6 Pro Wifi (8GB - 128GB)Snapdragon 8+ Gen 1, pin 8.600 mAh",,100013,0,1,5.0,1690528736,196608,27,False,False,13,135200000,,2800,False,Hải Phòng,False,False,True,110360
