,itemid,shopid,name,brand,subcatid,cb_option,cmt_count,rating,ctime,flag,historical_sold,is_adult,is_official_shop,liked_count,price,discount,stock,show_free_shipping,shop_location,shopee_verified,can_use_bundle_deal,can_use_cod,catid
0,18723637097,130313493,[Mã ELMS9 giảm 6% đơn 300K] Vỏ case máy tính KENOO ESPORT S600 - LED Strips rainbow - Hỗ trợ Mainboard ATX - Màu Trắng,,100644,0,1,5.0,1657797074,65536,3,False,False,2,64900000000,19%,8,False,Hà Nội,True,False,True,110360
1,23232364209,966547245,MSI Laptop Modern 14 C11M-011VN|Intel i3-1115G4|Card UHD| 8GB|512GB SSD|14' FHD,,100644,0,0,0.0,1678946637,196608,0,False,True,8,1109000000000,21%,200,False,TP. Hồ Chí Minh,False,False,True,110360
2,3767610182,43135227,"Bộ  Cây máy tính  I5 I3 Ram 8g VGA rời   mới 95% chơi mượt Liên minh, Đột kích,fifa 4,Free fire,PUBG MB,GTA",,100644,0,178,4.882022471910112,1606992959,65536,385,False,False,705,269000000000,,4150,False,Hà Nội,True,False,True,110360
3,11462628808,190753408,Trọn bộ máy tính all in one IMX Thế Hệ Mới Intel Core I5 Ram /Ram 4G /SSD M2 128G/ Tích hợp Webcam /Mic/Loa/wifi/bluetoo,,100644,0,36,4.944444444444445,1634877168,589824,86,False,False,486,440000000000,50%,11047,False,Hà Nội,True,False,True,110360
4,17929691329,70243615,bộ PC B760+I5 13400F+RTX 2060 super+RAM 16GB+ID COOLING 240XT Siêu đẹp cân mọi tựu game chính hãng BH 36 tháng,,100644,0,101,4.98019801980198,1647962553,589824,203,False,False,405,1449900000000,37%,182,False,Hà Nội,True,False,True,110360
5,4563287513,43135227,"Bộ máy tính I5 Siêu nhanh  chơi game Liên Minh, Đột Kích ,Free Fire ,Truy Kích, Audition MỚI 95%  Window 10, Màn 19 Ich",,100644,0,735,4.904761904761905,1605594579,65536,1539,False,False,4774,359000000000,,199,False,Hà Nội,True,False,True,110360
6,7465033128,43135227,"Bộ Máy Tính I5 Ram 16g Ssd 240g VGA 730  kèm màn 24  chơi mượt mọi game Liên minh, fifa 4, csgo đồ họa ngon",Microsoft,100644,0,434,4.928571428571429,1606201454,65536,1075,False,False,1903,459000000000,,878,False,Hà Nội,True,False,True,110360
7,2232585643,38707945,"Cây máy tính đồng bộ DELL CPU Core i7 3770 | i5 | i3 , ram 8GB, ổ cứng SSD 240GB. Tặng usb Wifi. Hàng Nhập Khẩu",DELL,100644,0,354,4.853107344632768,1558009287,65538,811,False,False,2898,183855000000,49%,1682,True,Hà Nội,True,False,True,110360
8,20891391913,321709643,"Trọn bộ máy vi tính văn phòng i3_8100 / RAM 8G / SSD 256G + Màn hình HP P232 23inch, Bảo hành đến 24 tháng, 1 đổi 1",,100644,0,0,0.0,1690791854,196608,0,False,False,0,145000000000,,75,False,TP. Hồ Chí Minh,False,False,True,110360
9,2722834218,117484484,"Bộ máy tính văn phòng, chơi game giá rẻ (Ram 4GB, Card 2gb) tùy cấu hình",,100644,0,332,4.657575757575757,1566978289,65538,619,False,False,2651,70000000000,,3154,True,Hà Nội,True,False,True,110360
10,19069922877,40924779,"Máy Tính Dell chính hãng Core i7 4770/ Ram 16GB/ SSD 256GB. Máy zin 100%, đẹp 99% nguyên hộp. Bảo Hành 12 Tháng Lỗi 1 Đổ",,100644,0,10,5.0,1672192305,196608,20,False,False,27,344500000000,,5623,False,Hà Nội,False,False,True,110360
11,2089788820,29651240,Combo Main  H81+ CPU I5-4570+Ram 8g+fan zin cấu hình mạnh chiến các game,Gigabyte,100644,0,80,4.875,1554777027,2,170,False,False,600,155000000000,,522,True,Hà Nội,False,False,False,110360
12,4279530140,203851475,"Cây Máy Tính Để Bàn 🌺ThanhBinhPC🌺 Máy Tính Đồng Bộ Giá Rẻ - máy tính bàn- HP ProDesk 600G1 ( Core I3 , i5, i7) - BH 12T.",HP,100644,0,74,4.972972972972973,1613625711,0,245,False,False,6427,120000000000,47%,1621,False,Hà Nội,True,False,False,110360
13,23508989791,30048228,Bộ máy tính HP Core i5 Ram 4GB SSD 128GB tốc độ cao siêu nhanh,,100644,0,12,5.0,1670095728,196608,18,False,False,25,190000000000,46%,179,False,TP. Hồ Chí Minh,True,False,True,110360
14,17343164356,30048228,"Thùng CPU Văn Phòng Giá Rẻ, Thùng Máy Tính Bàn Chơi Game Siêu Mượt Ram 2GB, Ổ 160GB",,100644,0,6,5.0,1649439479,0,13,False,False,125,80000000000,11%,355,False,TP. Hồ Chí Minh,True,False,False,110360
15,21849993237,860764060,"Trọn Bộ Máy Tính Học Online, Xem Phim, Đọc Báo Giá Rẻ.",,100644,0,11,5.0,1664287545,196608,20,False,False,1045,115000000000,,13,False,Hà Nội,False,False,True,110360
16,1130423476,2570335,Bộ Máy Tính Chơi Game PUBG PC FIFA 4 PUBG MOBILE CF live stream LOL,No Brand,100644,0,114,4.93859649122807,1525536281,524290,198,False,False,736,400000000000,,8,True,Hà Nội,False,False,False,110360
