,itemid,shopid,name,brand,subcatid,cb_option,cmt_count,rating,ctime,flag,historical_sold,is_adult,is_official_shop,liked_count,price,discount,stock,show_free_shipping,shop_location,shopee_verified,can_use_bundle_deal,can_use_cod,catid
0,18745153105,65589552,Smart Tivi Samsung 65 Inch 4K QLED QA65Q60BAKXXV 2022 - Miễn phí lắp đặt,,100010,0,145,4.76551724137931,1663056805,269156352,488,False,True,703,1429000000000,51%,86,False,Bắc Ninh,False,False,True,110360
1,18519797262,65589552,Smart Tivi Samsung 4K UHD 50 Inch UA50AU7002KXXV - Miễn phí lắp đặt,,100010,0,97,4.814432989690721,1657017209,268500992,326,False,True,641,799000000000,33%,26,False,Bắc Ninh,False,False,True,110360
2,9578319724,65589552,Smart Tivi Samsung Crystal UHD 4K 55 inch UA55AU7700KXXV - Miễn phí lắp đặt,None,100010,0,213,4.84433962264151,1626333750,269025280,784,False,True,1094,979000000000,53%,19,False,Bắc Ninh,False,False,True,110360
3,20125680262,65589552,Smart Tivi The Frame QLED Samsung 4K 55 inch QA55LS03BAKXXV,,100010,0,5,4.2,1658299497,268500992,30,False,True,417,1619000000000,46%,10,False,Bắc Ninh,False,False,True,110360
4,19619797528,65589552,Smart Tivi Samsung 4K UHD 55 Inch UA55AU7002KXXV - Miễn phí lắp đặt,,100010,0,150,4.846666666666667,1657017169,268500992,594,False,True,732,869000000000,37%,86,False,Bắc Ninh,False,False,True,110360
5,23974482309,611404243,Smart Tivi Xiaomi EA Pro 55 inch - 65 inch - 75 inch 2022 Chính Hãng,,100010,0,0,0.0,1689933002,196608,0,False,False,0,100000000,,5,False,Bình Dương,False,False,True,110360
6,8183379366,131201661,Smart TV HD Coocaa 32 Inch Wifi - Model 32S3U - Miễn phí lắp đặt,None,100010,0,1455,4.865702479338843,1627442406,268500994,3936,False,True,2779,279900000000,50%,235,True,TP. Hồ Chí Minh,False,False,True,110360
7,23248986950,611404243,Tặng giá treo- Smart Tivi Xiaomi EA50/EA 55/ EA65/EA70/ EA75 (INCH)- Chính Hãng,,100010,0,0,0.0,1689933821,196608,0,False,False,0,100000000,,10,False,Bình Dương,False,False,True,110360
8,16678205195,65589552,Smart Tivi Samsung 4K UHD 43 Inch UA43AU7002KXXV - Miễn phí lắp đặt,,100010,0,262,4.790076335877862,1657017188,268500992,900,False,True,806,629000000000,36%,137,False,Bắc Ninh,False,False,True,110360
9,11388477629,393350505,Smart Tivi Samsung Crystal 4K 65 inch UA65TU6900KXXV - Model 2020 - Miễn phí lắp đặt (cực hot),,100010,0,0,0.0,1646018861,65536,0,False,False,19,100000000,,495,False,Điện Biên,False,False,True,110360
10,7336351194,131201661,[Nhập ELCC8 giảm 400K ] Smart Google Tivi HD Coocaa 32inch - Model 32Z72 - Miễn phí lắp đặt,Coocaa,100010,0,146,4.828767123287672,1591175015,269025282,348,False,True,313,329900000000,34%,60,True,TP. Hồ Chí Minh,False,False,True,110360
11,19638767778,340431675,Smart Mi TV A2 XIAOMI | 32'' HD | ANDROID | Dolby Audio,,100010,0,288,4.90625,1661485801,720896,682,False,True,586,389000000000,35%,30,False,TP. Hồ Chí Minh,False,False,True,110360
12,22075091604,131697767,Tivi Toshiba 32 inch siêu bền nét đày đủ HDMI VGA,,100010,0,0,0.0,1690447232,65536,0,False,False,0,80000000000,,6,False,Hà Nội,False,False,True,110360
13,9659812427,95303264,[Mã ELBAU5 giảm 5% đơn 300K] Smart FHD Tivi LG 43 Inch 43LM5750PTC ThinQ AI - Model 2021 - Miễn phí lắp đặt,None,100010,0,230,4.6869565217391305,1622105877,269025282,787,False,True,598,559000000000,45%,207,True,Bắc Ninh,False,False,True,110360
14,16281360724,146434934,bo cao áp tivi asanzo 25s350 . hàng zin tháo máy,,100010,0,0,0.0,1659693127,0,0,False,False,0,10000000000,,1,False,Bến Tre,False,False,False,110360
15,23709070690,862398345,"Phim phân cực 32 inch dùng để dán cho mặt ngoài cho tivi,màn hình LCD , màn PC,laptop, điện thoại , oto xe máy",,100010,0,14,5.0,1670164557,196608,83,False,False,4,9900000000,29%,2914,False,Hà Nội,False,True,True,110360
16,22472193956,1022062002,"Tivi 32 inch Sen Việt Androi Tv độ phân giải 1366*768 HD hàng chính hãng, bảo hành 1 năm",,100010,0,10,4.6,1687993310,196608,60,False,False,14,249000000000,,22,False,Thái Bình,False,False,True,110360
17,18230375495,816403905,"Android Tivi TOSHIBA 32 inch 32V35KP, Smart TV màn hình LED HD - Loa 20W - Miễn Phí Lắp Đặt",,100010,0,6,5.0,1659434088,196608,17,False,True,34,409000000000,52%,2,False,TP. Hồ Chí Minh,False,False,True,110360
