,item_id,cmt_id,username,rating,comment
0,305801,r-54722226,Ngô Xuân Nam,5,Ok
1,305801,r-54689694,Phan Thanh Phụng,4,Mới sử dụng cũng chưa bjk như nào… tạm thời thấy cũng tốt… pin ok
2,305801,r-54616678,Nguyên Văn Tài,4,"Giá đồng hồ tương đối, Chức năng  thì khá ổn."
3,305801,r-54567933,Anh Diệu,5,Dùng tốt
4,289612,r-54971588,Nguyễn Huynh Thuỳ linh,5,Có phát nhạc nghe trực tiếp trên đồng hồ dc ko ad
5,289612,r-54953041,Anh Kiên,5,rất ok
6,289612,r-54870904,Chị Anh Đào,5,Các tính năng OK rất hữu ích
7,289612,r-54749512,NGUYỄN THÁI THUẬN,4,Tốt
8,289612,r-54695373,Xuân Oanh,4,Dùng bình thường
9,289612,r-54654891,Cô Tuyết,4,Mãi đỉnh
10,289612,r-54653891,Vi Văn Trọng,4,Sản phẩm tốt/dịch vụ tốt
11,289612,r-54653479,Em Mun,5,Ok
12,289612,r-54652929,Nguyễn Thị Kim Hằng,4,Sài ok . Ước gì pin sài lâu chút xíu
13,289612,r-54652831,Võ Thị Minh,4,"Đẹp, xịn"
14,289612,r-54652739,VŨ THỊ MỘNG TUYỀN,4,"Sản phẩm tốt, nhạy"
15,289612,r-54652652,Chị Hà,5,Nv tư vấn nhiệt tình
16,289612,r-54652638,Hồ Thị Mỹ Thanh,4,"Khá hài lòng, thông báo ổn"
17,289612,r-54612636,NGUYỄN THỊ MINH ANH,5,Dùng oke ạ
18,289612,r-54611265,Trần Cẩm Tú,4,Tốt
19,289612,r-54610828,Cẩm Giang,4,Xài ok nha
20,289612,r-54609238,x,5,Tốt
21,289612,r-54609189,Huyền,5,Ôk lắm
22,289612,r-54576064,Chị Lê,5,Rất hài lòng
23,289612,r-54566128,Phương,4,Mới xài thấy tốt
24,289612,r-54526151,Mai,4,Nhân viên tư vấn nhiệt tình. Sản phẩm ok
25,289612,r-54525991,Chị Hằng,4,Tốt
26,289612,r-54525712,Hà Thắng,4,Với mức giá như vậy mình cho là tốt
27,289612,r-54525415,Thái Nguyễn Hoàng Long,5,"Sản phẩm rất tuyệt vời, vượt ngoài sự mong đợi rất xứng đáng để sở hữu một em để dành đi làm"
28,289612,r-54525303,Chị Lan,4,Tốt
29,289612,r-54477838,Nguyễn Ngọc Ánh,5,"Đồng hồ đẹp, dùng tiện lợi, chức năng tốt"
30,289612,r-54466056,Thu Thuỷ,4,Rất ok
31,289612,r-54433863,Thuỳ,5,tot
32,289612,r-54397405,Quỳnh,5,Sp dùng tốt
33,289612,r-54397384,Hằng,4,Sp tốt
34,289612,r-54397376,Chị Thảo,5,Ok
35,289612,r-54370189,Chau,5,Nhân viên ở cửa hàng 330 Cộng Hoà rất dễ thương và nhiệt tình
36,289612,r-54367212,Bé Hảo,5,Sử dụng ok
37,289612,r-54364843,Thảo Na,4,Ok
38,289612,r-54328963,Nguyễn Anh Tuấn,5,Ok á mn
39,289612,r-54295725,Ân,5,"Sản phẩm tốt, nhân viên nhiệt tình"
40,289612,r-54273236,Chị Trang,3,Sản phẩm mau hết pin
41,289612,r-54273147,Bình,3,Mau hết pin
42,289612,r-54252045,Võ Xuân Thủy,4,Good
43,289612,r-54245177,Sang,5,Sản phảm y như trong hình
44,289612,r-54216932,Nguyễn Mạnh Trường,5,Sp tốt. Nhân viên nhiệt tình
45,289612,r-54213317,Đại,5,đẹp
46,289612,r-54206024,Chị Phương,4,Tư vấn nhiệt tình ạ
47,289612,r-54205352,Chị Trinh,5,Rất tot
48,289612,r-54205024,Anh Hải,5,Nhân viên rất nhiệt tình và dễ thương
49,289612,r-54204870,C Hằng,4,Phục vụ tốt
50,289612,r-54204633,Nguyễn Ngọc Giáng Hương,5,tốt
51,289612,r-54204443,PHẠM THỊ TUYẾT HẠNH,5,Nhân viên nhiệt tình với khách hàng
52,289612,r-54204374,Mỹ Quyên,5,ok
53,289612,r-54182888,Mỹ Hạnh,5,Tốt
54,289612,r-54180280,Thơ,5,ok
55,289612,r-54180115,Tâm,4,Đồng hồ chạy tốt
56,289612,r-54140641,Em Linh,4,Tụt pin hơi nhanh
57,289612,r-54139296,Chị Mẫn,4,Ưng ý
58,289612,r-54112009,Vân Anh,5,ok
59,289612,r-54110394,Nguyễn Mai Minh Tâm,4,"Sản phẩm dùng ổn nha, đáng để mua trải nghiệm"
60,289612,r-54107362,Hơn,5,Đẹp . Đủ tiện nghi .
61,289612,r-54105893,Huỳnh Hào Cương,5,"Nhân viên nhiệt tình, dặn dò kỹ lưỡng và phục vụ ngoài mong đợi của tôi"
62,289612,r-54105816,Nguyễn Duy Hải,5,Good
63,289612,r-54084529,Quí Anh,5,Tốt sài ổn nha
64,289612,r-54068297,Hiền,5,Tốt
65,289612,r-54067548,Thành,4,Ok
