,item_id,cmt_id,username,rating,comment
0,231244,r-54898226,Thuần,1,Máy quá tệ nhân sự ĐMX quá vô trách nhiệm trong việc xử lý cho kháchĐem máy đi hảo hành hơn 1 tháng và vẫn chưa nhận được máy. Lúc nào cũng phải để khách hàng chủ động liên hệ hỏi tình hình nhưng luôn nhận được câu trả lời là phải chờ đợi.Khi vào cửa hàng để hỏi thì nhân viên bất hợp tác không xử lý được câu hỏi khách đưa ra và luôn chối bỏ trách nhiệm.
1,231244,r-54896018,Tân,1,TGDD đang có tình trạng khách đặt mà tự ý huỷ đơn.
2,231244,r-54886100,Thoa,5,Đã sử dụng được 2 tuần thấy tốt pin xài cả ngày máy cũng mượt.
3,231244,r-54760124,Danh Tuân,1,"Màn hình bị ám hồng, đã mang ra tgdd kiểm tra cuối cùng chỉ nhận dc câu nói là bình thường, và cần thì xẽ gửi đi kiểm tra, lúc mua nói lỗi đổi , giờ lỗi sao không đổi. Thật thất vọng về những gì ở thế giới di động, chắc đây là lần cuối cùng tôi mua hàng tại đây."
4,231244,r-54746522,Khang,5,"Tư vấn nhiệt tình, sản phẩm chất lượng tuyệt đối tin tưởng"
5,231244,r-54745908,Em Trang,4,"Laptop đẹp, mỏng nhẹ, dễ cầm"
6,231244,r-54743574,Ca Vo,5,"Cảm ơn em Trần Minh Tuyền và quản lý Nguyễn Kim tại Luxury Store - Thegioididong 468 Nguyễn Thị Thập, quận 7, TP. HCM đã nhiệt tình hỗ trợ. Đập hộp cái MacBook thứ nhất bị vấn đề và được đập hộp cái thứ 2 ngay và luôn. Các bạn nhân viên vẫn rất có tâm, nhiệt tình và vui vẻ mặc dù cận giờ đóng cửa. Trước đó bạn nhân viên online cũng cố gắng hỗ trợ mấy lượt để giữ hàng cho mình tại shop. Mình đánh giá 5 sao cộng và chúc các bạn được nhiều sức khoẻ và được nhiều khách hàng yêu quý. Mình luôn ủng hộ Thegioididong."
7,231244,r-54730268,Lâm,5,Sản phẩm dùng rất tốt
8,231244,r-54728319,Phạm Huy Hoàng,5,"Hoàn thiện tốt, mỏng nhẹ. Máy rất mượt và gọn gàng"
9,231244,r-54675647,Sơn,5,Rất tốt
10,231244,r-54657728,Anh Danh,5,"Nhân viên niềm nở quan tâm khách hàng, hài lòng về cửa hàng cũng như chất lượng sản phẩm"
11,231244,r-54655325,Nguyễn Thái Trung,5,sp chất lượng lắm nhe🫶🏻🫰🏻🫰🏻🫰🏻
12,231244,r-54644452,Giang,5,"máy chạy ổn 
nhân viên thì không có tích cực giới thiệu cho lắm"
13,231244,r-54633217,Vũ Quyền Linh,4,"Sản phẩm không lỗi, dùng oke, nhân viên cũng tư vấn tận tình"
14,231244,r-54575276,Nguyen Phuong Hoang,4,Mơi nguyen seal
15,231244,r-54562449,Hương,5,"Máy tốt, giao hàng nhanh, nhân viên nhiệt tình. Hình ảnh thực tế đậm màu hơn trên web nhưng vẫn xinh"
16,231244,r-54542158,Hong An,5,máy ổn trong tầm giá nhân viên chi nhánh Nguyễn Tri Phương rất thân thiện
17,231244,r-54532244,Chị Mai,4,"Sản phẩm đẹp, mới, nhưng không được cài mấy app miễn phí"
18,231244,r-54504097,Chị Hương,5,R ok ạ
19,231244,r-54448528,Vĩ,5,"Sản phẩm đẹp, nhỏ gọn, pin trâu. Mình đang dùng và thấy hài lòng về sản phẩm."
20,231244,r-54424430,Uyên,5,"Nhân viên dễ thương, nhiệt tình"
