,item_id,cmt_id,username,rating,comment
0,247517,r-54899621,Trương thế tình,5,Rất tốt
1,247517,r-54762463,Em Huyền,5,Sài rất tốt ạ mượt mà E sài rất kĩ vs lại mặt sau rất bóng ạ
2,247517,r-54740385,Nguyen Trung Vien,4,Xài ổn giữ pin lâu
3,247517,r-54721247,Trần Anh Tuấn,2,Máy dùng rất nóng
4,247517,r-54633554,Phạm Thị Ngọc,3,"Máy mới xài, nhưng Zalo lâu lâu bị đứng, k biết đó lỗi gì."
5,247517,r-54582272,Đỗ Mạnh Dũng,5,Tuyệt vời
6,247517,r-54578893,Yến,5,Hàng dùng rất tốt
7,247517,r-54567256,Anh Trọng,3,Bình thường
8,247517,r-54563135,Mỹ Tâm,4,Hàng tốt ạ🥰
9,247517,r-54520613,Anh Vũ,3,Màng hình ko được nét . Chắc do mình cứ tin tưởng apple màn hình dùng chung 1 loại .Từ mắt tới rẻ
10,247517,r-54512846,Nguyễn Nhựt Tân,5,Ngon bổ rẽ
11,247517,r-54465938,Hưng,5,Mọi thứ đều tốt
12,247517,r-54457734,Huy,5,"Máy ngon, dùng mượt , giao hàng nhanh và nhiệt tình 
Sẽ ủng hộ tiếp"
13,247517,r-54401156,Nguyễn Ngọc Sáng,5,Máy dùng tốt
14,247517,r-54399494,Bach Nga,5,Tốt
15,247517,r-54397884,Anh Khanh,5,"Tốt, nhân viên ok"
16,247517,r-54360362,Nga,5,Tuyệt vời
17,247517,r-54357774,Thịnh,5,Các bạn nhân viên làm việc rất chuyên nghiệp. Đó là lý do mình chọn thế giới thế giới di động mặc dù giá luôn cao hơn thị trường. Bù lại mình thấy an tâm và thoải mái khi mua.
18,247517,r-54349423,Nguyễn Văn Huy,5,"Dùng dc 2 tuần thấy rất ổn, hợp với giá tiền"
19,247517,r-54349303,Bùi Văn Mãi,5,Nhiệt tình ok
20,247517,r-54335156,Cap Huu Hung,5,Ok
21,247517,r-54285714,Nguyễn Ngọc Ngân,4,Máy ok
22,247517,r-54128896,Huỳnh Thị Thanh,5,"Nhân viên nhiệt tình , thân thiện. Quá đỗi là dễ thương"
23,247517,r-54121675,NGUYỄN CHÁNH GIÁC,5,Tốt dể xử dụng chất lượng tốt
24,247517,r-54113723,Dang Hang Ni,5,Sản phẩm hợp với túi tiền và nhu cầu hiện tại
25,247517,r-54105306,Vũ Tiến Bình,5,"Trải nghiệm như máy mới, giá lại quá tốt."
26,247517,r-54092474,Đỗ Tiến Phát,5,Rất tốt.Máy mạnh. Pin lâu.Màn hình đẹp.
27,247517,r-54014441,Phan Thị Ngần,5,Dùng máy để học tập khá ổn
28,247517,r-53991242,Trần Thị Minh Tâm,5,Sp ok
29,247517,r-53959914,VỎ HỬU THẮNG,5,Sản phẩm rất ok nha mọi người.
30,247517,r-53920069,TRẦN MINH VƯƠNG,5,Rat tot
31,247517,r-53885050,Nghĩa,5,ok
32,247517,r-53832286,Nguyễn Quốc Trân,5,Ok
33,247517,r-53763325,Huỳnh Trúc Giang,5,giao hành nhanh. hàng chất lượng tốt
34,247517,r-53759014,ÂU TRẦN THỦY TÚ,5,"Máy dùng tốt
Nhân viên tư vấn nhiệt tình"
35,247517,r-53695182,Mai Văn Bình,5,"Sản phẩm, rất hài lòng"
36,247517,r-53690636,Nguyễn Hoàng Kính,5,Sp tốt trong tầm giá
37,247517,r-53674720,Đức,5,Ngon
