,id,title,link,description,box_price_present,box_price_old,box_price_percent,rating,cmt_count
0,303579,Điện thoại Samsung Galaxy A14 4GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a14-4gb,"Samsung Galaxy A14 4GB là chiếc điện thoại mới thuộc dòng A, được ra mắt tại thị trường Việt Nam vào tháng 03/2023 và được định hình là mẫu điện thoại thuộc phân khúc giá rẻ. Với mức giá phù hợp, máy là sự lựa chọn tuyệt vời cho học sinh và sinh viên khi được trang bị vi xử lý Exynos 850 và màn hình Full HD+ chất lượng cao.",3.890.000₫ ,4.490.000₫,-13%,4.2,219.0
1,292770,Điện thoại Samsung Galaxy A14 6GB,https://www.thegioididong.com/dtdd/samsung-galaxy-a14,"Samsung tiếp tục chứng tỏ sự nỗ lực của mình trong việc cải thiện dòng sản phẩm phân khúc cấp thấp trong năm 2023 bằng việc ra mắt mẫu smartphone Samsung Galaxy A14 4G. Với thiết kế độc đáo và hiện đại, sản phẩm này đáp ứng đầy đủ tiêu chí ""ngon - bổ - rẻ"" với cấu hình ổn định và giá cả cực kỳ hợp lý.",4.790.000₫ ,4.990.000₫,-4%,4.2,285.0
2,299034,Điện thoại OPPO Find N2 Flip 5G,https://www.thegioididong.com/dtdd/oppo-find-n2-flip,"OPPO Find N2 Flip 5G - chiếc điện thoại gập đầu tiên của OPPO đã được giới thiệu chính thức tại Việt Nam vào tháng 03/2023. Sở hữu cấu hình mạnh mẽ cùng thiết kế siêu nhỏ gọn giúp tối ưu kích thước, chiếc điện thoại sẽ cùng bạn nổi bật trong mọi không gian với vẻ ngoài đầy cá tính.",19.990.000₫ ,,,4.5,37.0
3,251192,Điện thoại iPhone 14 Pro Max 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max,"iPhone 14 Pro Max một siêu phẩm trong giới smartphone được nhà Táo tung ra thị trường vào tháng 09/2022. Máy trang bị con chip Apple A16 Bionic vô cùng mạnh mẽ, đi kèm theo đó là thiết kế hình màn hình mới, hứa hẹn mang lại những trải nghiệm đầy mới mẻ cho người dùng iPhone.","
                        <span>từ</span>
                    26.590.000₫ 
                ",29.990.000₫,-11%,4.5,331.0
4,289700,Điện thoại iPhone 14 Pro Max 256GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max-256gb,"Mới đây thì chiếc điện thoại iPhone 14 Pro Max 256GB cũng đã được chính thức lộ diện trên toàn cầu và đập tan bao lời đồn đoán bấy lâu nay, bên trong máy sẽ được trang bị con chip hiệu năng khủng cùng sự nâng cấp về camera đến từ nhà Apple.","
                        <span>từ</span>
                    29.590.000₫ 
                ",32.990.000₫,-10%,4.5,192.0
5,289702,Điện thoại iPhone 14 Pro Max 512GB,https://www.thegioididong.com/dtdd/iphone-14-pro-max-512gb,"Sau bao nhiêu ngày chờ đợi thì Apple đã chính thức tung ra mẫu điện thoại iPhone 14 Pro Max 512GB khi sở hữu một con chip với hiệu năng mạnh mẽ, màn hình đẹp mắt và cụm camera vô cùng chất lượng.",35.990.000₫ ,37.990.000₫,-5%,4.5,56.0
6,289705,Điện thoại iPhone 14 Pro Max 1TB,https://www.thegioididong.com/dtdd/iphone-14-pro-max-1tb,"iPhone 14 Pro Max 1TB là phiên bản điện thoại cao cấp nhất mà Apple đã cho ra mắt tại sự kiện giới thiệu sản phẩm mới cho năm 2022. Được thừa hưởng mọi công nghệ hàng đầu thế giới nên máy hứa hẹn sẽ mang lại trải nghiệm sử dụng tốt nhất từ chơi game cho tới chụp ảnh, xứng đáng là chiếc điện thoại đáng mua nhất trên thị trường hiện tại.",41.990.000₫ ,43.990.000₫,-4%,4.2,37.0
7,247508,Điện thoại iPhone 14 Pro 128GB,https://www.thegioididong.com/dtdd/iphone-14-pro,"iPhone 14 Pro 128GB - Mẫu smartphone đến từ nhà Apple được mong đợi nhất năm 2022, lần này nhà Táo mang đến cho chúng ta một phiên bản với kiểu thiết kế hình notch mới, cấu hình mạnh mẽ nhờ con chip Apple A16 Bionic và cụm camera có độ phân giải được nâng cấp lên đến 48 MP.","
                        <span>từ</span>
                    24.590.000₫ 
                ",27.990.000₫,-12%,4.6,161.0
8,289691,Điện thoại iPhone 14 Pro 256GB,https://www.thegioididong.com/dtdd/iphone-14-pro-256gb,"Apple trong sự kiện ngày 8/9 đã giới thiệu đến người dùng mẫu iPhone 14 Pro 256GB mang những cải tiến về mặt thiết kế cũng như cấu hình phần cứng, hứa hẹn một sản phẩm mạnh mẽ đáp ứng mọi nhu cầu của bạn.","
                        <span>từ</span>
                    27.190.000₫ 
                ",29.990.000₫,-9%,4.5,87.0
9,289694,Điện thoại iPhone 14 Pro 512GB,https://www.thegioididong.com/dtdd/iphone-14-pro-512gb,"Apple luôn mang đến những cải tiến trên các mẫu iPhone qua từng năm, iPhone 14 Pro 512GB năm nay được nâng cấp mạnh về hiệu năng cũng như thiết kế, một sản phẩm hứa hẹn sẽ cho người dùng những trải nghiệm trọn vẹn nhất đối với thế hệ iPhone 14 năm nay.",33.490.000₫ ,35.990.000₫,-6%,4.8,14.0
