,id,title,link,description,box_price_present,box_price_old,box_price_percent,rating,cmt_count
0,305801,Đồng hồ thông minh Amazfit T-Rex Ultra 47.3mm,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-t-rex-ultra,"Nhà Amazfit đã trình làng chiếc smartwatch cao cấp mới nhất của hãng mang tên Amazfit T-Rex Ultra. Được chế tác từ vật liệu bền bỉ hơn cũng như trang bị nhiều tính năng, hỗ trợ thuật toán thể thao, định vị với độ chuẩn xác ngày càng cao, hứa hẹn làm hài lòng mọi người dùng đam mê phiêu lưu, khám phá.",11.490.000₫ ,12.490.000₫,-8%,4.5,4.0
1,289612,Đồng hồ thông minh Apple Watch SE 2022 GPS 40mm,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2022,"Trong sự kiện Far Out 2022, nhà Táo Khuyết đã mang đến hàng loạt sản phẩm mới trong đó có đồng hồ thông minh Apple Watch SE 2022 GPS 40mm. Mẫu smartwatch giá rẻ mới nhất của Apple này hứa hẹn sẽ khiến cho các iFans đứng ngồi không yên khi sở hữu nhiều tính năng hấp dẫn.",7.490.000₫,,,4.5,148.0
2,289798,Đồng hồ thông minh Apple Watch SE 2022 GPS 44mm,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2022-44mm-vien-nhom,"Trong sự kiện ra mắt sản phẩm mới vào tháng 9/2022, Apple đã trình làng thế hệ tiếp theo của dòng Apple Watch SE mang tên Apple Watch SE 2022, với mục tiêu đem những trải nghiệm công nghệ cao cấp đến gần hơn với nhiều đối tượng người dùng.",8.490.000₫,,,4.6,96.0
3,289612,Đồng hồ thông minh Apple Watch SE 2022 GPS 40mm,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2022,"Trong sự kiện Far Out 2022, nhà Táo Khuyết đã mang đến hàng loạt sản phẩm mới trong đó có đồng hồ thông minh Apple Watch SE 2022 GPS 40mm. Mẫu smartwatch giá rẻ mới nhất của Apple này hứa hẹn sẽ khiến cho các iFans đứng ngồi không yên khi sở hữu nhiều tính năng hấp dẫn.",7.490.000₫,,,4.5,148.0
4,289798,Đồng hồ thông minh Apple Watch SE 2022 GPS 44mm,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2022-44mm-vien-nhom,"Trong sự kiện ra mắt sản phẩm mới vào tháng 9/2022, Apple đã trình làng thế hệ tiếp theo của dòng Apple Watch SE mang tên Apple Watch SE 2022, với mục tiêu đem những trải nghiệm công nghệ cao cấp đến gần hơn với nhiều đối tượng người dùng.",8.490.000₫,,,4.6,96.0
5,284932,Đồng hồ thông minh Samsung Galaxy Watch5 40mm,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch5,"Sau thành công của dòng Galaxy Watch4, tháng 8/2022 ông lớn công nghệ Samsung đã cho ra mắt thế hệ smartwatch tiếp theo của hãng mang tên Samsung Galaxy Watch5 40 mm.",5.190.000₫ ,5.990.000₫,-13%,4.3,91.0
6,286034,Đồng hồ thông minh Samsung Galaxy Watch5 44mm,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch5-44mm,"Ngày 10/8 vừa qua nhà Samsung đã cho ra mắt phiên bản kế nhiệm của Galaxy Watch4 mang tên Samsung Galaxy Watch 5. Mẫu smartwatch này thừa hưởng nhiều ưu điểm nổi bật của thế hệ trước đi cùng với nhiều cải tiến nổi bật, hứa hẹn sẽ được lòng nhiều SamFans.",5.690.000₫ ,6.490.000₫,-12%,4.5,65.0
7,304166,Đồng hồ thông minh Xiaomi Redmi Watch 3 42.6mm,https://www.thegioididong.com/dong-ho-thong-minh/redmi-watch-3,Tầm giá chưa đến 3 triệu đồng thì một chiếc smartwatch vừa có nghe gọi vừa được trang bị GPS độc lập khá hiếm thấy nhưng gần đây Xiaomi đã cho ra mắt sản phẩm đồng hồ thông minh Xiaomi Redmi Watch 3 có cả hai tính năng trên. Bên cạnh đó còn được trang bị nhiều tính năng hỗ trợ theo dõi sức khỏe và luyện tập phục vụ cho người dùng.,2.590.000₫ ,2.790.000₫,-7%,4.3,199.0
8,306530,Đồng hồ thông minh BeFit WatchFit 46.7mm,https://www.thegioididong.com/dong-ho-thong-minh/befit-watch-fit,"Đồng hồ thông minh BeFit WatchFit với ngoại hình hiện đại dễ dàng phối hợp với đa dạng trang phục, sản phẩm có nhiều phiên bản màu sắc cho người dùng lựa chọn. Ngoài ra, thiết bị còn được tích hợp nhiều chế độ luyện tập và những chức năng theo dõi sức khỏe phổ thông.",790.000₫ ,890.000₫,-11%,4.3,53.0
9,282959,Đồng hồ thông minh BeFit B4 44mm,https://www.thegioididong.com/dong-ho-thong-minh/befit-b4-hong,"BeFit B4 mang ngôn ngữ thiết kế tối giản, đem đến sự thời thượng cho người sử dụng. Đồng hồ thông minh được trang bị nhiều tính năng hỗ trợ sức khỏe và rèn luyện thể thao chỉ với mức giá chưa đến 1 triệu đồng, chắc chắn sẽ làm bạn hài lòng.",690.000₫ ,990.000₫,-30%,4.3,253.0
10,304893,Đồng hồ thông minh Amazfit GTR mini 42.8mm,https://www.thegioididong.com/dong-ho-thong-minh/amazfit-gtr-mini,"Đồng hồ thông minh Amazfit GTR mini với thiết kế gọn nhẹ thuận tiện cho các hoạt động. Bên trong thiết bị được trang bị đầy đủ các tính năng chăm sóc sức khỏe cơ bản, đa dạng chế độ luyện tập và một thời lượng pin dài đáp ứng nhiều nhu cầu sử dụng của người dùng. ",3.190.000₫ ,3.490.000₫,-8%,4.5,12.0
11,309917,Đồng Hồ Định Vị Trẻ Em imoo Z1 41mm dây TPU Hồng,https://www.thegioididong.com/dong-ho-thong-minh/dong-ho-dinh-vi-tre-em-imoo-z1-41-mm-hong,"Đồng hồ định vị trẻ em imoo Z1 là một thiết bị liên lạc hữu ích dành cho các bé và phụ huynh, khi hỗ trợ nghe gọi dễ dàng mọi lúc mọi nơi. Hơn thế nữa, thiết bị còn có khả năng định vị chính xác, đảm bảo an toàn cho bé những lúc không có cha mẹ bên cạnh.",2.990.000₫ ,,,5,1.0
12,310974,Đồng Hồ Định Vị Trẻ Em imoo Z1 41mm dây TPU Xanh ngọc,https://www.thegioididong.com/dong-ho-thong-minh/dong-ho-dinh-vi-tre-em-imoo-z1-41-mm-xanh-ngoc,"Để thuận tiện liên lạc với các bé khi cha mẹ không có nhiều thời gian ở bên cạnh mà không muốn bé tiếp xúc với điện thoại sớm thì chiếc đồng hồ định vị trẻ em imoo Z1 này là một lựa chọn sáng giá. Đồng hồ có thể nghe gọi 2 chiều, trang bị hệ thống định vị tiên tiến cùng vô vàn tính năng thông minh hỗ trợ bé khi không có phụ huynh ở bên cạnh.",2.990.000₫ ,,,,
13,302244,Vòng đeo tay thông minh Xiaomi Redmi Band 2,https://www.thegioididong.com/dong-ho-thong-minh/redmi-band-2,"Vòng đeo tay thông minh Xiaomi Redmi Band 2 một thiết bị đeo nhỏ gọn, bất kỳ ai cũng có thể sử dụng. Sản phẩm sở hữu thiết kế hiện đại, đa dạng các tính năng sức khỏe, chế độ luyện tập, khả năng kết nối ổn định, thời lượng pin kéo dài,... sẵn sàng đồng hành cùng người dùng trong mọi trường hợp.",690.000₫ ,990.000₫,-30%,4.6,61.0
14,308485,Đồng hồ thông minh Garmin Epix Pro Gen 2 47mm Đen,https://www.thegioididong.com/dong-ho-thong-minh/garmin-epix-pro-gen-2,"Sau thành công của thế hệ Epix Gen 2, hãng smartwatch thể thao lớn nhất thế giới Garmin đã tiếp tục trình làng phiên bản Garmin Epix Pro Gen 2 với các cải tiến, nâng cấp mới phục vụ tối ưu hơn cho người dùng thể thao chuyên nghiệp và các tín đồ yêu thích phiêu lưu, khám phá.",25.990.000₫ ,,,,
15,308517,Đồng hồ thông minh Garmin Fenix 7X Pro Solar Titanium,https://www.thegioididong.com/dong-ho-thong-minh/garmin-fenix-7x-pro-solar-titanium,"Đồng hồ thông minh Garmin Fenix 7X Pro Solar Titanium sẽ là một thiết bị hỗ trợ tuyệt vời dành cho những bạn yêu thích các môn thể thao ngoài trời. Tích hợp thêm các cảm biến theo dõi sức khỏe tiên tiến, hệ thống định vị hàng đầu mang đến cho người dùng những trải nghiệm tuyệt vời.",25.990.000₫ ,,,,
16,308516,Đồng hồ thông minh Garmin Fenix 7 Pro Solar Titanium,https://www.thegioididong.com/dong-ho-thong-minh/garmin-fenix-7-pro-solar-titanium,"Hãng Garmin đã cho ra mắt siêu phẩm đồng hồ thể thao Garmin Fenix 7 Pro Solar Titanium với GPS chính xác, đa dạng chế độ luyện tập, thời lượng pin kéo dài cùng người dùng chinh phục mọi thử thách. Phục vụ tốt hơn cho người dùng thể thao chuyên nghiệp và các tín đồ yêu thích những cuộc phiêu lưu, khám phá dài ngày.",23.490.000₫ ,,,,
17,308291,Đồng hồ thông minh Garmin Golf Approach S70 dây silicone,https://www.thegioididong.com/dong-ho-thong-minh/garmin-golf-approach-s70-day-silicone,"Garmin Golf Approach S70 là chiếc đồng hồ thông minh hỗ trợ chơi golf chuyên nghiệp, được trang bị nhiều tính năng hữu ích giúp người dùng cải thiện các kỹ năng qua từng buổi tập. Bên cạnh đó, đồng hồ còn tích hợp nhiều cảm biến thế hệ mới giúp theo dõi sức khỏe và xác định vị trí một cách chính xác.",18.290.000₫ ,,,5,1.0
18,305882,Đồng hồ thông minh Garmin Forerunner 265 Music 46.1mm,https://www.thegioididong.com/dong-ho-thong-minh/garmin-forerunner-265-music-day-silicone,"Chiếc smartwatch thể thao Garmin Forerunner 265 Music với nhiều tính năng hữu ích sẽ hỗ trợ người dùng cải thiện hiệu suất luyện tập, đặc biệt là bộ môn chạy bộ. Bên cạnh đó, đồng hồ cũng có những cải tiến về mặt thiết kế giúp người dùng thuận tiện hơn trong quá trình sử dụng.",11.690.000₫ ,,,4.7,10.0
19,289804,Đồng hồ thông minh Apple Watch S8 GPS 41mm,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-41mm,"Tại sự kiện Far Out 2022 ngoài iPhone Series thì Apple còn giới thiệu đến giới công nghệ Apple Watch Series 8. Thu hút được sự chú ý của công chúng, vấn đề hiệu năng của thiết bị này cũng được quan tâm đặc biệt. Trong bài viết này mình sẽ đưa ra đánh giá cho sản phẩm Apple Watch S8 GPS 41mm sau một thời gian trải nghiệm. ",9.290.000₫ *,11.990.000₫,-22%,4.6,35.0
