,id,title,link,description,box_price_present,box_price_old,box_price_percent,rating,cmt_count
0,231244,Laptop Apple MacBook Air 13 inch M1 2020 8-core CPU/8GB/256GB/7-core GPU (MGN63SA/A),https://www.thegioididong.com/laptop/apple-macbook-air-2020-mgn63saa,"Laptop Apple MacBook Air M1 2020 thuộc dòng laptop cao cấp sang trọng có cấu hình mạnh mẽ, chinh phục được các tính năng văn phòng lẫn đồ hoạ mà bạn mong muốn, thời lượng pin dài, thiết kế mỏng nhẹ sẽ đáp ứng tốt các nhu cầu làm việc của bạn.",18.990.000₫ ,,,4.4,165.0
1,301634,Laptop HP 15s fq2716TU i3 1115G4/8GB/512GB/Win11 (7C0X3PA),https://www.thegioididong.com/laptop/hp-15s-fq2716tu-i3-7c0x3pa,"Nếu bạn đang tìm kiếm một chiếc laptop học tập - văn phòng có thể đáp ứng tất tần tật mọi nhu cầu sử dụng hàng ngày từ học tập, làm việc văn phòng đến thiết kế đồ họa cơ bản, còn chần chừ gì nữa mà không tham khảo ngay laptop HP 15s fq2716TU i3 (7C0X3PA).",,,,4.3,67.0
2,285764,Laptop Acer Aspire 3 A315 58 54XF i5 1135G7/8GB/512GB/Win11 (NX.AM0SV.007),https://www.thegioididong.com/laptop/acer-aspire-3-a315-58-54xf-i5-nxam0sv007,"Nếu đang tìm kiếm một chiếc laptop học tập - văn phòng sở hữu thiết kế thanh lịch, hiện đại cùng thông số cấu hình đủ mạnh để vận hành mượt mà các tác vụ công việc thì laptop Acer Aspire 3 A315 58 54XF i5 (NX.AM0SV.007) là sự lựa chọn lý tưởng dành cho bạn.",12.490.000₫ *,14.990.000₫,-16%,4.4,30.0
3,285962,Laptop HP 240 G8 i3 1115G4/8GB/256GB/Win11 (6L1A1PA),https://www.thegioididong.com/laptop/hp-240-g8-i3-6l1a1pa,"Vẻ ngoài thanh lịch, cấu hình ổn định cùng mức giá lý tưởng là những ưu điểm mà sinh viên hay dân văn phòng nên lựa chọn chiếc laptop HP 240 G8 i3 (6L1A1PA) làm trợ thủ đắc lực hàng đầu cho các công việc thiết yếu hằng ngày. ",,,,4.2,50.0
4,253636,Laptop Apple MacBook Pro 16 inch M1 Pro 2021 10 core-CPU/16GB/512GB/16 core-GPU (MK1E3SA/A),https://www.thegioididong.com/laptop/apple-pro-16-m1-pro-2021-10-core-cpu,"MacBook Pro 16 M1 Pro 2021 không chỉ sở hữu thiết kế mới trông vuông vức hơn mà còn mang trong mình sức mạnh hiệu năng vượt trội đến từ bộ vi xử lý M1 Pro, cho mình trải nghiệm sử dụng mượt mà và ấn tượng như một dân chuyên đúng nghĩa.",39.990.000₫ ,,,4.4,21.0
5,265530,Laptop itel SPIRIT 1 i3 8109U/4GB/256GB/Win11 (71006300035),https://www.thegioididong.com/laptop/itel-spirit-1-i3-71006300035,"Nếu bạn đang tìm một chiếc laptop học tập - văn phòng cơ bản mà đang lo ngại về giá cả, hãy yên tâm vì Itel Spirit 1 i3 (71006300035) sẽ lo được điều đó! Với lối thiết kế đơn giản, thanh lịch cùng bộ vi xử lý ổn định và mức giá phổ thông cực kỳ lý tưởng nhưng vẫn đáp ứng được các nhu cầu thiết yếu hằng ngày cho người dùng.",4.990.000₫ *,5.590.000₫,-10%,4.2,66.0
6,309601,Laptop Lenovo ThinkBook 14 G3 ACL R3 5300U/8GB/256GB/Win11 (21A200RWVN),https://www.thegioididong.com/laptop/lenovo-thinkbook-14-g3-acl-r3-21a200rwvn,"Laptop Lenovo ThinkBook 14 G3 ACL R3 5300U (21A200RWVN) với hiệu năng ổn định giúp vận hành hiệu quả và mượt mà mọi tác vụ thường ngày của bạn, đi kèm với đó là một mức giá phù hợp, chắc chắn sẽ là sự lựa chọn tối ưu trong dòng laptop học tập - văn phòng.",7.990.000₫ ,9.490.000₫,-15%,4.1,7.0
7,302533,Laptop HP Pavilion 15 eg2082TU i5 1240P/8GB/512GB/Win11 (7C0Q5PA),https://www.thegioididong.com/laptop/hp-pavilion-15-eg2082tu-i5-7c0q5pa,"Laptop HP Pavilion 15 eg2082TU i5 (7C0Q5PA) gây ấn tượng bởi sự đẳng cấp đến từ thiết kế thanh lịch, sang trọng cùng hiệu năng vượt bậc nhờ vào con chip Intel thế hệ 12 mạnh mẽ, đáp ứng đầy đủ mọi nhu cầu của người dùng từ tác vụ văn phòng đến đồ họa.",16.490.000₫ *,19.790.000₫,-16%,4.2,35.0
8,307786,Laptop Acer Aspire 7 Gaming A715 76G 5132 i5 12450H/8GB/512GB/4GB GTX1650/144Hz/Win11 (NH.QMESV.002),https://www.thegioididong.com/laptop/acer-aspire-7-gaming-a715-76g-5132-i5-nhqmesv002,"Một dòng laptop gaming được cải tiến hoàn toàn mới đến từ nhà Acer, Aspire 7 Gaming 2023 mang ngoại hình tối giản, đẹp mắt cùng những thông số cấu hình mạnh mẽ, vừa đáp ứng được việc chiến game, vừa xử lý hiệu quả mọi tác vụ thường ngày. Laptop Acer Aspire 7 Gaming A715 76G 5132 i5 12450H (NH.QMESV.002) chắc chắn sẽ là sự lựa chọn hoàn hảo dành cho bạn.",15.990.000₫ *,18.990.000₫,-15%,4.2,12.0
9,303500,Laptop MSI Gaming GF63 Thin 11SC i5 11400H/8GB/512GB/4GB GTX1650/144Hz/Win11 (664VN),https://www.thegioididong.com/laptop/msi-gaming-gf63-thin-11sc-i5-664vn,"Mang trong mình sức mạnh hiệu năng của bộ vi xử lý Intel Core i5 dòng H mạnh mẽ và card đồ họa rời NVIDIA GeForce GTX, laptop MSI Gaming GF63 Thin 11SC i5 (664VN) có khả năng chiến game nặng và thiết kế đồ họa một cách mượt mà.",14.990.000₫ *,16.490.000₫,-9%,4.1,33.0
