,id,title,link,description,box_price_present,box_price_old,box_price_percent,rating,cmt_count
0,247517,Máy tính bảng iPad 9 WiFi 64GB,https://www.thegioididong.com/may-tinh-bang/ipad-gen-9,"Sau thành công của iPad 8, Apple cho đã cho ra mắt máy tính bảng iPad 9 WiFi 64GB - phiên bản tiếp theo của dòng iPad 10.2 inch, về cơ bản nó kế thừa những điểm mạnh từ các phiên bản trước đó và được cải tiến thêm hiệu suất, trải nghiệm người dùng nhằm giúp nhu cầu sử dụng giải trí và làm việc tiện lợi, linh hoạt hơn.",7.490.000₫ *,8.390.000₫,-10%,4.5,194.0
1,250730,Máy tính bảng iPad 9 WiFi 256GB,https://www.thegioididong.com/may-tinh-bang/ipad-9-wifi-256gb,"iPad 9 WiFi 256GB thu hút sự chú ý của mọi người với thiết kế đơn giản, hiệu suất vượt trội, camera ghi hình chất lượng, bộ nhớ trong và dung lượng pin ấn tượng, thiết bị sẽ là một chiếc máy tính bảng cực đáng chọn mua để trải nghiệm.",11.590.000₫ *,12.290.000₫,-5%,4.5,28.0
2,251704,Máy tính bảng Samsung Galaxy Tab A8 (2022),https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a8,Nghe nhìn mãn nhãn với màn hình lớn và âm thanh chân thật ,6.990.000₫ ,,,4.1,125.0
3,248096,Máy tính bảng iPad Air 5 M1 Wifi 64GB,https://www.thegioididong.com/may-tinh-bang/ipad-air-5,iPad Air 5 M1 Wifi 64 GB đã được công bố tại sự kiện Peek Performance diễn ra hôm 9/3 (theo giờ Việt Nam). Năm nay Apple đã có những thay đổi lớn về cả hiệu năng và bổ sung màu sắc mới cho thiết bị.,14.590.000₫ *,15.590.000₫,-6%,4.6,33.0
4,274154,Máy tính bảng iPad Air 5 M1 Wifi 256GB,https://www.thegioididong.com/may-tinh-bang/ipad-air-5-m1-wifi-256gb,"Như cái tên đã nói chiếc iPad Air 5 M1 Wifi 256GB có một không gian lưu trữ lớn hơn cho bạn có thể lưu trữ nhiều dữ liệu, tác phẩm hơn. Nhưng vẫn giữ được khả năng xử lý tác vụ đáng kinh ngạc nhờ sức mạnh của con chip M1 và RAM 8 GB. Ngoài các điểm đó ra cùng mình xem nó có gì đặc sắc đáng để bạn chi tiền nha.",18.490.000₫ ,19.490.000₫,-5%,,
5,247513,Máy tính bảng Samsung Galaxy Tab S8 Ultra 5G,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s8-ultra,"Samsung Galaxy Tab S8 Ultra ra mắt với kích thước màn hình siêu to cùng một cấu hình mạnh mẽ, được xem là thiết bị phù hợp đối với những ai thường xuyên làm các công việc thiết kế hay thao tác trên trình duyệt web, bên cạnh đó Tab S8 Ultra còn mang đến những trải nghiệm tương tự một chiếc laptop khi sử dụng kèm với bàn phím.",30.990.000₫ ,,,4.5,15.0
6,294103,Máy tính bảng iPad 10 WiFi 64GB,https://www.thegioididong.com/may-tinh-bang/ipad-gen-10,Sau khi trình làng hàng loạt mẫu iPhone vào tháng 09/2022 thì Apple cũng đã tiếp tục giới thiệu series iPad mới cho năm 2022. Trong đó iPad 10 WiFi 64GB là cái tên được hãng chú trọng khá nhiều về việc tối ưu giá thành nhằm giúp người dùng có thể dễ dàng tiếp cận. Máy hỗ trợ hệ điều hành iPadOS 16 cùng con chip Apple A14 Bionic giúp mang lại hiệu năng vượt trội.,11.190.000₫ *,11.490.000₫,-2%,4.5,51.0
7,293543,Máy tính bảng iPad 10 WiFi 256GB,https://www.thegioididong.com/may-tinh-bang/ipad-10,"Máy tính bảng iPad 10 WiFi 256GB được Apple chuyển sang ngôn ngữ thiết kế mới, hiệu năng cũng được nâng cấp và thời gian sử dụng cũng được kéo dài. Đây chắc hẳn là sự lựa chọn hàng đầu của người dùng phổ thông.",Giá dự kiến: 15.390.000₫ ,,,5,1.0
8,237325,Máy tính bảng Samsung Galaxy Tab A7 Lite,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a7-lite,"Máy tính bảng Samsung Galaxy Tab A7 Lite một phiên bản rút gọn của dòng máy tính bảng ""ăn khách"" Galaxy Tab A7 thuộc thương hiệu Samsung, đáp ứng nhu cầu giải trí của khách hàng thuộc phân khúc bình dân với màn hình lớn nhưng vẫn gọn nhẹ hợp túi tiền.",4.490.000₫ ,,,4.1,190.0
9,238649,Máy tính bảng iPad Pro M1 12.9 inch WiFi Cellular 128GB (2021),https://www.thegioididong.com/may-tinh-bang/ipad-pro-m1-129-inch-wifi-cellular-128gb-2021,Bạn có đang mong chờ những sản phẩm chất lượng đến từ Apple? Sau hàng loạt các sản phẩm đình đám như iPhone 12 series thì hãng đã tung ra chiếc iPad Pro M1 12.9 inch Wifi Cellular 128GB (2021) trang bị những tính năng ngày càng vượt trội và thời thượng.,29.290.000₫ *,34.990.000₫,-16%,4.4,14.0
10,269334,Máy tính bảng iPad Pro M1 12.9 inch WiFi Cellular 2TB (2021),https://www.thegioididong.com/may-tinh-bang/ipad-pro-m1-129-inch-wifi-cellular-2tb-2021,Thể hiện sức mạnh dẫn đầu nhờ chip M1,58.990.000₫ *,63.990.000₫,-7%,5,1.0
11,306923,Máy tính bảng Lenovo Tab M9,https://www.thegioididong.com/may-tinh-bang/lenovo-tab-m9,"Nhằm mang đến nhiều sự lựa chọn hơn cho dòng máy tính bảng của hãng thì mới đây Lenovo cũng đã cho ra mắt mẫu máy tính bảng Lenovo Tab M9. Máy sở hữu vẻ ngoài đơn giản tinh tế, màn hình lớn cùng một hiệu năng ổn định với các tác vụ.",4.590.000₫ ,4.990.000₫,-8%,4.8,8.0
12,306924,Máy tính bảng Lenovo Tab M8 (Gen 4),https://www.thegioididong.com/may-tinh-bang/lenovo-tab-m8-gen-4,"Nếu bạn đang tìm kiếm một máy tính bảng Android giá cả phải chăng với hiệu năng ổn định và thời lượng pin dài, bạn có thể xem xét Lenovo Tab M8 (Gen 4). Đây là một thiết bị của Lenovo nằm trong phân khúc máy tính bảng tầm trung với nhiều cải tiến so với thế hệ trước.",3.690.000₫ ,3.990.000₫,-7%,3,2.0
