,id,name,sku,url_key,brand_name,seller_product_id,seller_id,price,original_price,discount,discount_rate,rating_average,review_count,productset_id,category,sold
0,247730209,Điện thoại Samsung Galaxy A34 5G (8GB/128GB) - Hàng chính hãng,8223495517277,dien-thoai-samsung-galaxy-a34-5g-8gb-128gb-hang-chinh-hang-p247730209,SAMSUNG,247730217,1,7650000,8490000,840000,10,4.6,8,2647,Điện thoại,37
1,247731336,Điện thoại Samsung Galaxy A54 5G (8GB/256gb) - Hàng chính hãng,1510802346625,dien-thoai-samsung-galaxy-a54-8gb-256gb-hang-chinh-hang-p247731336,SAMSUNG,247731338,1,10290000,11490000,1200000,10,5.0,10,2647,Điện thoại,29
3,247730281,Điện thoại Samsung Galaxy A54 5G (8GB/128GB) - Hàng chính hãng,2407118484785,dien-thoai-samsung-galaxy-a54-5g-8gb-128gb-hang-chinh-hang-p247730281,SAMSUNG,247730283,1,9250000,10490000,1240000,12,5.0,13,2647,Điện thoại,35
4,194034217,Điện thoại Samsung Galaxy Z Flip 4 (8GB/128GB),2244372375751,dien-thoai-samsung-galaxy-z-flip-4-8gb-128gb-hang-chinh-hang-p194034217,SAMSUNG,194034223,1,12990000,23990000,11000000,46,5.0,86,2647,Điện thoại,299
5,183330021,Apple iPad 10.2-inch (9th Gen) Wi-Fi 2021,4574894463154,apple-ipad-10-2-inch-9th-gen-wi-fi-2021-p183330021,APPLE,124939771,1,7000000,10990000,3990000,36,5.0,788,2645,Điện thoại,2610
6,91612670,Điện Thoại Oppo A54 (4GB/128GB),1516581121000,dien-thoai-oppo-a54-4gb-128gb-hang-chinh-hang-p91612670,OPPO,91612672,1,3250000,5990000,2740000,46,4.8,107,2647,Điện thoại,11231
7,57809866,Điện thoại Xiaomi Redmi 9A (2GB/32GB),3788220137002,dien-thoai-xiaomi-redmi-9a-2gb-32gb-hang-chinh-hang-p57809866,XIAOMI,196161253,1,1790000,2490000,700000,28,4.7,661,2647,Điện thoại,5204
8,120295859,Điện Thoại Nokia C30 (2GB/32GB) - Hàng Chính Hãng,7996455150829,dien-thoai-nokia-c30-2gb-32gb-hang-chinh-hang-p120295859,NOKIA,120295861,1,1590000,1990000,400000,20,4.6,140,2647,Điện thoại,491
9,175845367,Điện Thoại Samsung Galaxy S20 FE (8GB/256GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,1853775172429,dien-thoai-samsung-galaxy-s20-fe-8gb-256gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p175845367,SAMSUNG,175845369,1,6990000,9990000,3000000,30,4.7,137,2647,Điện thoại,418
15,197216291,Apple iPhone 14 Pro Max,7600231386822,apple-iphone-14-pro-max-p197216291,APPLE,197216306,1,26490000,33990000,7500000,22,5.0,493,2647,Điện thoại,2997
16,184253251,Apple iPad Air (5th Gen) Wi-Fi 2022,9221166188908,apple-ipad-air-5th-gen-wi-fi-2022-p184253251,APPLE,168721278,1,13490000,18990000,5500000,29,5.0,202,2645,Điện thoại,604
17,247823537,Điện thoại Realme C55 (6GB/128GB) - Hàng chính hãng,5131783629488,ddien-thoai-realme-c55-6gb-128gb-hang-chinh-hang-p247823537,REALME,247823541,1,3990000,4790000,800000,17,4.7,20,2647,Điện thoại,68
18,203764665,Điện thoại Gaming Tecno POVA 4 PRO 8GB/128GB - Media Tek G99 | 6000 mAh | Sạc nhanh 45W - Hàng Chính Hãng,5815289899574,dien-thoai-gaming-tecno-pova-4-pro-8gb-128gb-media-tek-g99-6000-mah-sac-nhanh-45w-hang-chinh-hang-p203764665,TECNO,203764667,189668,4390000,4990000,600000,12,4.8,82,2647,Điện thoại,234
19,179547641,Máy đọc sách Kindle Paperwhite 5 (8GB) - Hàng chính hãng,2856525838196,may-doc-sach-kindle-paperwhite-5-8gb-hang-chinh-hang-p179547641,KINDLE,179547642,1,3490000,4990000,1500000,30,4.8,97,2653,Điện thoại,414
21,125182567,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu,3945825763277,may-doc-sach-all-new-kindle-paperwhite-5-11th-gen-hang-nhap-khau-p125182567,KINDLE,125182569,38963,3450000,3990000,540000,14,4.8,324,2653,Điện thoại,1098
22,103168844,Máy tính bảng Samsung Galaxy Tab A7 Lite LTE SM-T225) - ĐÃ KÍCH HOẠT ĐIỆN TỬ - Hàng Chính Hãng,1125442593127,may-tinh-bang-samsung-galaxy-tab-a7-lite-lte-sm-t225-da-kich-hoat-dien-tu-hang-chinh-hang-p103168844,SAMSUNG,104310220,20704,4990000,4990000,0,0,5.0,207,2645,Điện thoại,687
24,217706932,Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) và Bao da - Hàng nhập khẩu,1898927783898,combo-may-doc-sach-all-new-kindle-paperwhite-5-11th-gen-va-bao-da-hang-nhap-khau-p217706932,KINDLE,161964617,38963,3440000,3990000,550000,14,5.0,111,2653,Điện thoại,383
