,orderId,itemId,shopId,cmtId,rating,comment,ship_oversea,region,userId,likes
393,110991500100515,3066084859,45654584,8984854294,5,"hàng đẹp xịn sò giống_hình , chuột cầm nhẹ_tay bàn_phím nhạy dùng okee , tối tắt điện bật led làm_việc bình_thường đáng tiền bạn mua nhé",False,vn,636299992,2
395,89659632262758,3066084859,45654584,6522412723,5,bàn_phím chuột nhấn nhẹ_nhàng . cảm_ơn shop,False,vn,480477564,7
396,83580099086876,3066084859,45654584,5825350201,5,"sản_phẩm đóng_gói kỹ_càng , giao hàng nhanh , bàn_phím tương_đối ổn giá_thành",False,vn,435954539,2
399,97501469340629,3066084859,45654584,7401079469,5,"hàng giao nhanh , giống trong ảnh dùng ổn lỗi",False,vn,326408688,17
415,92942975536335,3066084859,45654584,7064382286,5,"sản_phẩm đónng_gói kĩ . màu đẹp , đáng tiền . giao hàng nhanh . cám_ơn sjop",False,vn,77870434,1
828,113653301225263,20011286067,792250698,9495100534,5,"chất_lượng sản phẩmhài_lòng sản_phẩm tính_năng nổi bậtmàu đẹp , dễ_thương , nhỏ gọn . chuột hay mất kết_nôí , xài oki . bàn_phím kết_nối ổn_định , gõ ồn , quá ổn giá tiền",False,vn,32800995,19
829,138671564261972,20011286067,792250698,11598496963,5,sản_phẩm tốt chất_lượng mọi người mua xịn shipper thân_thiện,False,vn,929959262,1
830,131558750298695,20011286067,792250698,11003963641,3,"bọc hàng_không cẩn_thận , hộp móp méo bàn_phím ok , phù_hợp giá tiền hay mất kết_nối chuột khó dùng",False,vn,268830569,18
831,117277550208661,20011286067,792250698,9620891360,5,"tính_năng nổi bậtxanh_dương chất_lượng sản_phẩmtốt bàn_phím nhỏ gọn mang đi nhìu , chuột bấm êm_ko ồn_ào . phù_hợp hs sv . giao hàng nhanh , shipper dễ_thương .",False,vn,243573570,30
835,125068262122899,20011286067,792250698,10409089644,5,chất_lượng sản_phẩmtoots tính_năng nổi bậtnhỏ nhắn_tiện tốt_nha mua t,False,vn,851802587,30
900,119704502125895,20011286067,792250698,9851279514,5,"nhận bluetooth keyboard wireless mouse màu đen đúng yêu_cầu , bao_bì an_toàn móp_meó , thấm nước dù mùa mưa . dùng thử , đạt yêu_cầu . tin_tưởng shop , xem mặt_hàng cần_thiết mua thêm .",False,vn,331661413,1
904,111550982180880,20011286067,792250698,8992898733,5,"giao hàng nhanh , màu siêu_xinh , chuột bấm êm thích nha",False,vn,271744397,1
905,112550551182782,20011286067,792250698,9137166330,5,chất_lượng sản_phẩmtốt tính_năng nổi bậtgọn nhẹ dễ sử_dụng,False,vn,822500274,3
994,102731600645907,7134465302,63347190,8004010348,5,"bàn phím oke , giao nhanh , gõ tốt , ko ọp_ẹp , đủ bàn học",False,vn,73248391,5
