,item_id,cmt_id,username,rating,comment
2,247517,r-54740385,Nguyen Trung Vien,4,xài ổn giữ pin lâu
9,247517,r-54520613,Anh Vũ,3,màng hình_ko nét . chắc mình tin_tưởng apple màn_hình dùng chung 1 loại . mắt tới rẻ
12,247517,r-54457734,Huy,5,"máy ngon , dùng mượt , giao hàng nhanh nhiệt_tình ủng_hộ tiếp"
17,247517,r-54357774,Thịnh,5,bạn nhân_viên làm_việc chuyên_nghiệp . lý_do mình chọn thế_giới thế_giới di_động mặc_dù giá cao hơn thị_trường . bù mình thấy an_tâm thoải_mái mua .
22,247517,r-54128896,Huỳnh Thị Thanh,5,"nhân_viên nhiệt_tình , thân_thiện . quá_đỗi dễ_thương"
23,247517,r-54121675,NGUYỄN CHÁNH GIÁC,5,tốt dể xử_dụng chất_lượng tốt
24,247517,r-54113723,Dang Hang Ni,5,sản_phẩm hợp túi_tiền nhu_cầu hiện_tại
25,247517,r-54105306,Vũ Tiến Bình,5,"trải_nghiệm máy mới , giá quá tốt ."
26,247517,r-54092474,Đỗ Tiến Phát,5,tốt . máy mạnh . pin lâu . màn_hình đẹp .
27,247517,r-54014441,Phan Thị Ngần,5,dùng máy học_tập khá ổn
29,247517,r-53959914,VỎ HỬU THẮNG,5,sản_phẩm ok_nha mọi người .
33,247517,r-53763325,Huỳnh Trúc Giang,5,giao hành nhanh . hàng chất_lượng tốt
34,247517,r-53759014,ÂU TRẦN THỦY TÚ,5,máy dùng tốt nhân_viên tư_vấn nhiệt_tình
35,247517,r-53695182,Mai Văn Bình,5,"sản_phẩm , hài_lòng"
36,247517,r-53690636,Nguyễn Hoàng Kính,5,sp tốt trong tầm giá
38,247517,r-53673734,KI T,4,sản_phẩm mong_đợi
41,247517,r-53631921,TRẦN mINH tUẤN,5,quá tuyệt_vời trong tầm giá .
42,247517,r-53628587,Đào Trung Lâm,5,sản_phẩm thích_hợp người lớn_tuổi sử_dụng
44,247517,r-53527093,Anh Lâm,5,hàng ok nhân_viên tận tinhh
49,247517,r-53351114,DUẨN,5,"sản_phẩm tốt . dùng đọc sách , viết , vẽ ok ."
50,247517,r-53343416,NGHĨA,5,"sản_phẩm dùng tốt , mượt , màn_hình đẹp"
52,247517,r-53305221,Cuong,5,"sản_phẩm sử_dụng oke , dùng cơ_bản như_vậy tuyệt_vời lắm"
54,247517,r-53282047,Quỳnh Hoa,4,"sản_phẩm tốt , giá_cả hợp_lý nhân_viên nhiệt_tình"
56,247517,r-53239158,AN,4,máy tốt trong tầm giá
59,247517,r-53111678,PHÙNG MINH KHOA,5,"hàng ngon , mua đúng đợt khuyến_mãi giá hợp_lý"
61,247517,r-53065441,Hùng,4,"máy dùng tốt , phù_hợp mức tiền"
64,247517,r-53009816,THIÊM,5,mới dùng 10 ngày oke . nhân_viên giao hàng nhiệt_tình
68,247517,r-52969811,T%C2M,5,mua thêm ốp . trông máy thêm 1 lever
77,247517,r-52830001,Như Vị,5,"nhân_viên nhiệt_tình , máy xài ổn"
78,247517,r-52819743,NNGUYEN MINH MAN,5,nhân_viên phục_vụ tận_tình
79,247517,r-52801752,THƯƠNG,5,máy mượt . đẹp . nhân_viên tư_vấn nhiệt_tình tận_tâm
82,247517,r-52768170,KIÊN,4,nhân_viên hỗ_trợ tốt
83,247517,r-52732824,LÊ CÔNG THÀNH,4,cảm_biến vân tay ổn
89,247517,r-52617332,BÀNG,4,màn dán chống xước màn_hình kĩ .
92,247517,r-52522405,HƯƠNG,5,"sản_phẩm ngoài sức mong_đợi giá_thành . hối_hận mua chỗ khác máy cũ bảo_hành ít 32 gb , giá ngang máy mới ở 64 gb"
93,247517,r-52512775,THANH,5,sản_phẩm apple chất_lượng tốt nhất thị_trường . dịch_vụ thế_giới di_động ok
94,247517,r-52512708,THỊNH,5,tốt tầm giá
95,247517,r-52492402,VINH,5,"sản_phẩm tốt , đạt yêu_cầu"
96,247517,r-52481913,NHÀN,4,"tôi dùng , giá_cả chấp_nhận dùng khá tốt"
99,247517,r-52421388,LÃM,4,ipad khỏi nói pin siêu trâu tiếc_màn hình tần_số quét cao
100,247517,r-52420009,ÁNH,5,"sản_phẩm tốt , bảo_mật cao . mình mua con học , bé tự_động tải ứng_dụng . tốt . tuy_nhiên youtube xem toàn màn_hình ."
104,247517,r-52362631,TĨNH,4,cảm_ơn tạo sản_phẩm tốt như_vậy
105,247517,r-52333249,T,5,"sản_phẩm nhanh , mượt kiểu_dáng lỗi thời"
107,247517,r-52209905,Lê Hữu Sáng,5,mình hỏi thay kính cảm_ứng ipad bao_nhiêu tiền
113,247517,r-52060078,Hoàng Tuân,4,"đầu update thấy pin_khỏe hơn , giờ 15.4_hao hơn khác tốt . mua đầu 5 giá"
119,247517,r-51879266,TÙNG,5,máy mượt . nhân_viên hỗ_trợ nhiệt_tình
122,247517,r-51685646,HOÀNG,4,"giao hàng nhanh , sản_phẩm chính hãng"
123,247517,r-51677948,VIỆT,5,nhân_viên phục_vụ nhiệt_tình
124,247517,r-51667839,QUỲNH,5,bạn nhân_viên hỗ_trợ rât tuyệt_vời
128,247517,r-50852392,HuỳnhTrung Nghĩa,5,"sản_phẩm ok , học_sinh học online , dòng táo yên_tâm ."
130,247517,r-50732530,Đỗ Phạm Minh Bằng,5,dịch_vụ tốt . ủng_hộ lâu_dài
131,247517,r-50727832,Phương Chi,3,"máy hơi lap , hay đứng máy ."
134,247517,r-50688524,Nguyễn Hoàng Anh,5,máy mỏng đẹp mua người_nhà sử_dụng nhu_cầu học_tập giải_trí phù_hợp . hài_lòng .
135,247517,r-50654694,Nguyễn Văn Hải,5,"hiện_tại ipad giá tốt nhất , pin_khỏe , dùng sáng đến tối hết pin , mình mua về con học onli mùa dịch , hài_lòng về sản_phẩm"
136,247517,r-50637011,Thế Anh,5,máy dùng phù_bợp bạn học_tập giải_trí đơn_giản dùng khá tốt_pin dùng lâu five star nha
138,247517,r-50616077,Thái Nga,4,"về thiết_kế mỏng , nhẹ về trải_nghiệm mình phục_vụ học_tập , note bài giảng nênn thấy khá oke"
144,247517,r-50437416,Hoàng Văn Huy,5,hài_lòng về sản_phẩm . ahihi
196,250730,r-54340030,Hoàng Chiến Thắng,3,"chất_lượng apple , đúng đắt thành khúc ."
197,250730,r-54241239,Chị Trang,5,nhân_viên nhiệt_tình chu_đáo
200,250730,r-53685653,Trịnh Thị Thủy,4,"máy wifi , khe sim ."
205,250730,r-52897397,HỘI,4,phù_hợp nhu_cầu sử_dụng vừa_phải
208,250730,r-52221818,ĐẠT,5,"tốt , hài_lòng thái_độ phục_vụ"
209,250730,r-51856032,VĨNH,3,thường_xuyên gặp vấn_đề về màn_hình trình_duyệt máy . còn bình_thường . sản_phẩm đến hiện_tại
210,250730,r-51686727,ANH,5,"đẹp , mượt , mua"
220,250730,r-52405008,Huy,5,"tốt , nhân_viên phục_vụ hài_lòng"
222,251704,r-54948406,Nguyễn Đăng Ninh,3,mượt dễ dùng bắt wifi kém
