,id,cmt,price,service,ship,performance,genuine,configuration,access,other,model
0,r-54457734,"máy ngon , dùng mượt , giao hàng nhanh nhiệt_tình ủng_hộ tiếp",0,1,1,1,0,0,0,0,0
1,r-54357774,bạn nhân_viên làm_việc chuyên_nghiệp . lý_do mình chọn thế_giới thế_giới di_động mặc_dù giá cao hơn thị_trường . bù mình thấy an_tâm thoải_mái mua .,1,1,0,0,0,0,0,0,0
2,r-54128896,"nhân_viên nhiệt_tình , thân_thiện . quá_đỗi dễ_thương",0,1,0,0,0,0,0,0,0
3,r-54113723,sản_phẩm hợp túi_tiền nhu_cầu hiện_tại,0,0,0,0,0,0,0,1,0
4,r-54105306,"trải_nghiệm máy mới , giá quá tốt .",1,0,0,0,0,0,0,0,0
5,r-54092474,tốt . máy mạnh . pin lâu . màn_hình đẹp .,0,0,0,0,0,1,0,0,0
6,r-53763325,giao hành nhanh . hàng chất_lượng tốt,0,0,1,0,0,0,0,0,0
7,r-53759014,máy dùng tốt nhân_viên tư_vấn nhiệt_tình,0,1,0,0,0,0,0,0,0
8,r-53628587,sản_phẩm thích_hợp người lớn_tuổi sử_dụng,0,0,0,0,0,0,0,1,0
9,r-53343416,"sản_phẩm dùng tốt , mượt , màn_hình đẹp",0,0,0,1,0,1,0,0,0
10,r-53305221,"sản_phẩm sử_dụng tốte , dùng cơ_bản như_vậy tuyệt_vời lắm",0,0,0,0,0,0,0,1,0
11,r-53282047,"sản_phẩm tốt , giá_cả hợp_lý nhân_viên nhiệt_tình",1,1,0,0,0,0,0,0,0
12,r-53111678,"hàng ngon , mua đúng đợt khuyến_mãi giá hợp_lý",1,0,0,0,0,0,0,0,0
13,r-53009816,mới dùng 10 ngày tốte . nhân_viên giao hàng nhiệt_tình,0,1,1,0,0,0,0,0,0
14,r-52801752,máy mượt . đẹp . nhân_viên tư_vấn nhiệt_tình tận_tâm,0,1,0,1,0,0,0,0,1
15,r-52522405,"sản_phẩm ngoài sức mong_đợi giá_thành . hối_hận mua chỗ khác máy cũ bảo_hành ít 32 gb , giá ngang máy mới ở 64 gb",1,0,0,0,0,0,0,0,0
16,r-52512775,sản_phẩm apple chất_lượng tốt nhất thị_trường . dịch_vụ thế_giới di_động tốt,0,1,0,0,0,0,0,0,0
17,r-52481913,"tôi dùng , giá_cả chấp_nhận dùng khá tốt",1,0,0,0,0,0,0,0,0
18,r-52420009,"sản_phẩm tốt , bảo_mật cao . mình mua con học , bé tự_động tải ứng_dụng . tốt . tuy_nhiên youtube xem toàn màn_hình .",0,0,0,0,0,0,0,0,0
19,r-52333249,"sản_phẩm nhanh , mượt kiểu_dáng lỗi thời",0,0,0,1,0,0,0,0,1
20,r-51879266,máy mượt . nhân_viên hỗ_trợ nhiệt_tình,0,1,0,1,0,0,0,0,0
21,r-51685646,"giao hàng nhanh , sản_phẩm chính hãng",0,0,1,0,1,0,0,0,0
22,r-50688524,máy mỏng đẹp mua người_nhà sử_dụng nhu_cầu học_tập giải_trí phù_hợp . hài_lòng .,0,0,0,0,0,0,0,0,1
23,r-50654694,"hiện_tại ipad giá tốt nhất , pin_khỏe , dùng sáng đến tối hết pin , mình mua về con học onli mùa dịch , hài_lòng về sản_phẩm",1,0,0,0,0,1,0,0,0
24,r-50616077,"về thiết_kế mỏng , nhẹ về trải_nghiệm mình phục_vụ học_tập , note bài giảng nênn thấy khá tốte",0,1,0,0,0,0,0,0,1
25,r-54340030,"chất_lượng apple , đúng đắt thành khúc .",0,0,0,0,0,0,0,1,0
26,r-51856032,thường_xuyên gặp vấn_đề về màn_hình trình_duyệt máy . còn bình_thường . sản_phẩm đến hiện_tại,0,0,0,0,0,2,0,0,0
27,r-54548298,"myb samsung tab a8 mẫu_mã đẹp cấu_hình mạnh dùng trong công_việc , học_tập_tra cứu tốt",0,0,0,0,0,1,0,0,1
